SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,27320,Sumner,24,6,1,0,0,0,2,13,17,14,0,82.4,17.6,0.0
2010-11,39201,Sunnyside,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,27010,Tacoma,464,176,4,13,15,45,48,296,344,208,11,60.5,36.3,3.2
2010-11,14077,Taholah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17409,Tahoma,10,8,0,0,1,1,0,6,12,10,0,83.3,16.7,0.0
2010-11,38265,Tekoa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34402,Tenino,1,1,0,0,0,0,1,0,2,1,0,50.0,50.0,0.0
2010-11,19400,Thorp,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21237,Toledo,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,24404,Tonasket,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39202,Toppenish,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,36300,Touchet,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08130,Toutle Lake,2,0,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2010-11,20400,Trout Lake,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17406,Tukwila,58,33,0,3,3,2,3,39,52,37,4,71.2,21.2,7.7
2010-11,34033,Tumwater,17,11,0,0,0,2,0,16,12,10,0,83.3,16.7,0.0
2010-11,27083,University Place,86,27,0,2,0,5,0,61,52,45,0,86.5,13.5,0.0
2010-11,06037,Vancouver,107,41,0,3,4,17,8,67,81,46,3,56.8,39.5,3.7
2010-11,17402,Vashon Island,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,34975,WA State Center for Childhood Deafness & Hearing Loss,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
