SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,06122,Ridgefield,3,1,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2010-11,01160,Ritzville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32416,Riverside,4,0,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,17407,Riverview,5,1,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2010-11,34401,Rochester,6,7,0,0,1,2,0,9,4,1,0,25.0,75.0,0.0
2010-11,38320,Rosalia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13160,Royal,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,28149,San Juan Island,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,17001,Seattle,100,29,2,2,7,8,10,55,74,42,3,56.8,39.2,4.1
2010-11,29101,Sedro-Woolley,16,2,0,0,0,0,0,15,3,2,1,66.7,0.0,33.3
2010-11,39119,Selah,7,12,0,0,0,0,1,13,6,4,1,66.7,16.7,16.7
2010-11,26070,Selkirk,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,05323,Sequim,12,4,0,0,0,0,1,4,12,11,0,91.7,8.3,0.0
2010-11,23309,Shelton,63,9,0,0,7,7,6,22,50,28,2,56.0,40.0,4.0
2010-11,17412,Shoreline,9,2,0,0,1,0,1,1,10,6,2,60.0,20.0,20.0
2010-11,17404,Skykomish,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31201,Snohomish,9,2,0,0,0,0,2,5,6,4,0,66.7,33.3,0.0
2010-11,17410,Snoqualmie Valley,7,3,0,0,0,0,1,4,6,4,1,66.7,16.7,16.7
2010-11,13156,Soap Lake,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,25118,South Bend,7,0,0,0,0,0,0,5,2,2,0,100.0,0.0,0.0
2010-11,18402,South Kitsap,28,6,0,0,1,2,1,14,20,12,4,60.0,20.0,20.0
2010-11,15206,South Whidbey,6,1,0,0,0,0,0,1,6,6,0,100.0,0.0,0.0
2010-11,32081,Spokane,103,26,6,4,9,15,7,47,82,40,1,48.8,50.0,1.2
2010-11,22008,Sprague,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,38322,St. John,4,0,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,31401,Stanwood-Camano,5,3,0,0,0,0,1,3,5,3,1,60.0,20.0,20.0
2010-11,27001,Steilacoom Historical,3,1,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,30303,Stevenson-Carson,13,1,0,1,0,2,0,5,9,5,1,55.6,33.3,11.1
2010-11,31311,Sultan,4,1,0,1,0,1,0,2,3,1,0,33.3,66.7,0.0
2010-11,27320,Sumner,16,7,0,0,0,0,0,9,14,14,0,100.0,0.0,0.0
2010-11,39201,Sunnyside,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,27010,Tacoma,63,31,2,1,3,6,10,52,42,15,5,35.7,52.4,11.9
2010-11,14077,Taholah,15,7,1,0,1,0,0,8,14,12,0,85.7,14.3,0.0
2010-11,17409,Tahoma,3,3,0,0,0,1,0,3,3,2,0,66.7,33.3,0.0
2010-11,38265,Tekoa,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,34402,Tenino,0,3,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2010-11,19400,Thorp,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21237,Toledo,1,1,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2010-11,24404,Tonasket,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39202,Toppenish,53,22,1,1,4,4,4,36,39,16,9,41.0,35.9,23.1
2010-11,36300,Touchet,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,08130,Toutle Lake,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2010-11,20400,Trout Lake,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17406,Tukwila,3,3,0,0,0,1,0,4,2,1,0,50.0,50.0,0.0
2010-11,34033,Tumwater,10,3,0,0,0,2,1,6,7,3,1,42.9,42.9,14.3
