SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,29311,La Conner,6,4,0,0,0,0,0,5,5,5,0,100.0,0.0,0.0
2010-11,38126,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04129,Lake Chelan,10,5,0,0,3,1,0,6,9,2,3,22.2,44.4,33.3
2010-11,14097,Lake Quinault,4,1,0,0,0,2,1,2,3,0,0,0.0,100.0,0.0
2010-11,31004,Lake Stevens,72,27,1,1,3,7,1,42,57,41,3,71.9,22.8,5.3
2010-11,17414,Lake Washington,218,41,0,3,3,11,14,101,158,126,1,79.7,19.6,0.6
2010-11,31306,Lakewood,35,7,3,0,2,1,3,22,20,8,3,40.0,45.0,15.0
2010-11,32362,Liberty,8,4,0,0,0,1,2,5,7,4,0,57.1,42.9,0.0
2010-11,01158,Lind,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08122,Longview,75,30,0,0,7,9,9,49,56,27,4,48.2,44.6,7.1
2010-11,28144,Lopez,2,2,0,0,1,1,0,0,4,2,0,50.0,50.0,0.0
2010-11,20406,Lyle,4,1,0,0,1,0,0,1,4,3,0,75.0,25.0,0.0
2010-11,37504,Lynden,17,9,0,0,0,2,2,6,20,10,6,50.0,20.0,30.0
2010-11,39120,Mabton,4,3,0,0,0,0,0,4,3,3,0,100.0,0.0,0.0
2010-11,09207,Mansfield,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,04019,Manson,11,1,0,0,0,0,1,1,11,10,0,90.9,9.1,0.0
2010-11,23311,Mary M Knight,2,1,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2010-11,33207,Mary Walker,9,1,0,0,2,2,0,0,10,6,0,60.0,40.0,0.0
2010-11,31025,Marysville,139,41,0,4,10,12,7,76,104,60,11,57.7,31.7,10.6
2010-11,32354,Mead,90,15,1,0,6,4,1,39,66,48,6,72.7,18.2,9.1
2010-11,32326,Medical Lake,20,7,0,0,0,1,0,10,17,16,0,94.1,5.9,0.0
2010-11,17400,Mercer Island,37,5,0,0,0,1,0,10,32,29,2,90.6,3.1,6.3
2010-11,37505,Meridian,22,5,0,0,1,1,1,13,14,11,0,78.6,21.4,0.0
2010-11,24350,Methow Valley,5,2,0,0,0,1,0,4,3,1,1,33.3,33.3,33.3
2010-11,31103,Monroe,61,9,1,0,1,0,4,29,41,28,7,68.3,14.6,17.1
2010-11,14066,Montesano,14,4,0,0,0,2,0,9,9,6,1,66.7,22.2,11.1
2010-11,21214,Morton,5,2,0,0,0,1,1,3,4,2,0,50.0,50.0,0.0
2010-11,13161,Moses Lake,49,13,0,2,4,6,5,14,48,26,5,54.2,35.4,10.4
2010-11,21206,Mossyrock,9,1,0,0,0,0,0,6,4,3,1,75.0,0.0,25.0
2010-11,39209,Mount Adams,16,1,1,0,1,0,3,5,12,5,2,41.7,41.7,16.7
2010-11,37507,Mount Baker,34,11,0,0,1,5,0,18,27,13,8,48.1,22.2,29.6
2010-11,29320,Mount Vernon,50,22,3,1,3,6,9,32,40,16,2,40.0,55.0,5.0
2010-11,31006,Mukilteo,139,43,2,3,3,6,6,75,107,63,24,58.9,18.7,22.4
2010-11,39003,Naches Valley,9,4,0,0,0,2,0,5,8,5,1,62.5,25.0,12.5
2010-11,21014,Napavine,6,1,0,0,0,1,0,3,4,3,0,75.0,25.0,0.0
2010-11,25155,Naselle-Grays River Valley,2,2,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
