SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,19400,Thorp,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21237,Toledo,3,2,0,0,0,0,0,2,3,2,1,66.7,0.0,33.3
2010-11,24404,Tonasket,23,4,2,0,0,1,0,10,17,14,0,82.4,17.6,0.0
2010-11,39202,Toppenish,222,46,2,3,10,14,14,65,203,142,18,70.0,21.2,8.9
2010-11,36300,Touchet,6,3,0,0,0,1,0,2,7,6,0,85.7,14.3,0.0
2010-11,08130,Toutle Lake,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,20400,Trout Lake,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,17406,Tukwila,46,23,4,2,3,0,1,28,41,29,2,70.7,24.4,4.9
2010-11,34033,Tumwater,25,10,0,0,0,3,1,13,22,17,1,77.3,18.2,4.5
2010-11,27083,University Place,37,13,0,0,1,3,0,21,29,25,0,86.2,13.8,0.0
2010-11,06037,Vancouver,202,77,1,1,9,22,21,115,164,101,9,61.6,32.9,5.5
2010-11,17402,Vashon Island,3,2,0,0,0,0,0,2,3,3,0,100.0,0.0,0.0
2010-11,34975,WA State Center for Childhood Deafness & Hearing Loss,5,1,0,0,0,0,0,1,5,3,2,60.0,0.0,40.0
2010-11,35200,Wahkiakum,1,1,0,0,0,2,0,0,2,0,0,0.0,100.0,0.0
2010-11,13073,Wahluke,117,21,1,5,4,5,5,31,107,82,5,76.6,18.7,4.7
2010-11,36401,Waitsburg,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,36140,Walla Walla,170,36,2,3,0,5,17,49,157,126,4,80.3,17.2,2.5
2010-11,39207,Wapato,204,44,0,3,9,17,14,79,169,117,9,69.2,25.4,5.3
2010-11,13146,Warden,52,12,1,0,1,3,0,19,45,40,0,88.9,11.1,0.0
2010-11,06112,Washougal,13,3,0,0,0,0,0,4,12,11,1,91.7,0.0,8.3
2010-11,01109,Washtucna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,09209,Waterville,5,0,0,0,0,0,0,3,2,2,0,100.0,0.0,0.0
2010-11,33049,Wellpinit,0,3,0,0,0,0,1,0,3,2,0,66.7,33.3,0.0
2010-11,04246,Wenatchee,157,73,3,2,5,22,29,46,184,108,15,58.7,33.2,8.2
2010-11,32363,West Valley (Spokane),13,5,0,0,0,0,0,8,10,9,1,90.0,0.0,10.0
2010-11,39208,West Valley (Yakima),68,13,2,0,4,9,1,34,47,30,1,63.8,34.0,2.1
2010-11,21303,White Pass,1,0,0,1,0,0,0,0,1,0,0,0.0,100.0,0.0
2010-11,27416,White River,16,7,0,1,0,0,0,16,7,6,0,85.7,14.3,0.0
2010-11,20405,White Salmon Valley,25,3,0,0,0,0,0,7,21,20,1,95.2,0.0,4.8
2010-11,22200,Wilbur,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,25160,Willapa Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13167,Wilson Creek,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,21232,Winlock,8,6,0,0,0,0,2,7,7,5,0,71.4,28.6,0.0
2010-11,14117,Wishkah Valley,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,20094,Wishram,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08404,Woodland,19,5,0,0,1,2,1,6,18,13,1,72.2,22.2,5.6
2010-11,39007,Yakima,699,154,1,14,28,59,57,285,568,374,35,65.8,28.0,6.2
2010-11,34002,Yelm,23,8,0,0,0,3,2,7,24,17,2,70.8,20.8,8.3
2010-11,39205,Zillah,33,14,1,0,1,0,0,14,33,31,0,93.9,6.1,0.0
