SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,21303,White Pass,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27416,White River,6,0,0,0,0,0,0,3,3,3,0,100.0,0.0,0.0
2010-11,20405,White Salmon Valley,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,22200,Wilbur,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,25160,Willapa Valley,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,13167,Wilson Creek,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21232,Winlock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,14117,Wishkah Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20094,Wishram,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08404,Woodland,3,1,0,0,1,0,0,1,3,2,0,66.7,33.3,0.0
2010-11,39007,Yakima,14,7,0,0,0,0,1,9,12,10,1,83.3,8.3,8.3
2010-11,34002,Yelm,15,7,0,0,0,0,1,9,13,11,1,84.6,7.7,7.7
2010-11,39205,Zillah,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
