SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,28149,San Juan Island,4,0,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2010-11,17001,Seattle,781,156,5,18,25,38,31,192,745,604,24,81.1,15.7,3.2
2010-11,29101,Sedro-Woolley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39119,Selah,2,3,0,0,0,0,0,2,3,3,0,100.0,0.0,0.0
2010-11,26070,Selkirk,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,05323,Sequim,8,6,0,0,0,1,0,3,11,9,1,81.8,9.1,9.1
2010-11,23309,Shelton,10,3,0,0,0,0,0,7,6,6,0,100.0,0.0,0.0
2010-11,17412,Shoreline,170,39,1,2,0,2,0,46,163,153,5,93.9,3.1,3.1
2010-11,17404,Skykomish,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31201,Snohomish,28,8,0,0,0,0,1,10,26,25,0,96.2,3.8,0.0
2010-11,17410,Snoqualmie Valley,13,2,0,0,0,0,1,6,9,8,0,88.9,11.1,0.0
2010-11,13156,Soap Lake,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,25118,South Bend,4,0,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,18402,South Kitsap,59,9,0,0,1,2,2,19,49,42,2,85.7,10.2,4.1
2010-11,15206,South Whidbey,4,2,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2010-11,32081,Spokane,59,25,2,0,2,8,1,20,64,48,3,75.0,20.3,4.7
2010-11,22008,Sprague,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,38322,St. John,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,31401,Stanwood-Camano,12,5,0,0,0,0,0,7,10,10,0,100.0,0.0,0.0
2010-11,27001,Steilacoom Historical,32,7,1,1,0,0,0,7,32,30,0,93.8,6.3,0.0
2010-11,30303,Stevenson-Carson,1,2,0,0,0,0,1,2,1,0,0,0.0,100.0,0.0
2010-11,31311,Sultan,3,1,0,1,0,0,0,1,3,2,0,66.7,33.3,0.0
2010-11,27320,Sumner,17,6,0,0,0,0,1,7,16,14,1,87.5,6.3,6.3
2010-11,39201,Sunnyside,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27010,Tacoma,280,76,2,11,5,34,20,116,240,154,14,64.2,30.0,5.8
2010-11,14077,Taholah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17409,Tahoma,16,10,0,0,1,0,0,8,18,16,1,88.9,5.6,5.6
2010-11,38265,Tekoa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34402,Tenino,2,3,0,0,0,0,0,3,2,1,1,50.0,0.0,50.0
2010-11,19400,Thorp,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21237,Toledo,2,1,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2010-11,24404,Tonasket,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,39202,Toppenish,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,36300,Touchet,0,2,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,08130,Toutle Lake,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20400,Trout Lake,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17406,Tukwila,44,16,1,0,0,1,1,21,39,33,3,84.6,7.7,7.7
