SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Year 1,Year 2,Year 3,Year 4,Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14097,Lake Quinault,4,1,0,0,0,1,0,0,5,4,0,80.0,20.0,0.0
2013-14,31004,Lake Stevens,49,13,0,0,1,1,0,12,50,48,0,96.0,4.0,0.0
2013-14,17937,Lake Washington Institute of Technology,21,3,0,0,0,5,2,0,24,0,17,0.0,29.2,70.8
2013-14,17414,Lake Washington,116,38,0,0,3,7,8,35,119,99,2,83.2,15.1,1.7
2013-14,31306,Lakewood,19,0,0,1,0,1,1,1,18,15,0,83.3,16.7,0.0
2013-14,32362,Liberty,3,2,0,0,0,0,0,1,4,4,0,100.0,0.0,0.0
2013-14,01158,Lind,6,1,0,1,0,0,0,1,6,5,0,83.3,16.7,0.0
2013-14,08122,Longview,91,16,0,1,0,5,7,27,80,61,6,76.3,16.3,7.5
2013-14,28144,Lopez,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,20406,Lyle,2,0,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2013-14,37504,Lynden,54,16,0,2,3,1,5,12,58,44,3,75.9,19.0,5.2
2013-14,39120,Mabton,49,10,5,1,2,0,1,15,44,33,2,75.0,20.5,4.5
2013-14,04019,Manson,36,2,0,0,1,1,0,3,35,33,0,94.3,5.7,0.0
2013-14,23311,Mary M Knight,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,33207,Mary Walker,1,2,0,0,0,0,0,2,1,0,1,0.0,0.0,100.0
2013-14,31025,Marysville,144,17,0,1,8,10,9,30,131,95,8,72.5,21.4,6.1
2013-14,32354,Mead,34,12,0,0,1,2,1,10,36,31,1,86.1,11.1,2.8
2013-14,32326,Medical Lake,19,2,0,0,0,1,0,5,16,15,0,93.8,6.3,0.0
2013-14,17400,Mercer Island,6,4,0,0,0,0,0,2,8,8,0,100.0,0.0,0.0
2013-14,37505,Meridian,25,6,0,0,1,2,5,7,24,16,0,66.7,33.3,0.0
2013-14,24350,Methow Valley,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,30031,Mill A,,,,,,,,,,,,n/a,n/a,n/a
2013-14,31103,Monroe,65,7,1,0,2,5,2,12,60,45,5,75.0,16.7,8.3
2013-14,14066,Montesano,8,1,0,0,0,1,0,0,9,8,0,88.9,11.1,0.0
2013-14,21214,Morton,0,2,0,0,0,0,1,1,1,0,0,0.0,100.0,0.0
2013-14,13161,Moses Lake,156,68,3,6,12,24,15,29,195,128,7,65.6,30.8,3.6
2013-14,21206,Mossyrock,11,1,0,0,1,0,3,0,12,8,0,66.7,33.3,0.0
2013-14,39209,Mount Adams,28,3,2,0,0,2,1,2,29,24,0,82.8,17.2,0.0
2013-14,37507,Mount Baker,8,3,0,0,0,2,1,0,11,8,0,72.7,27.3,0.0
2013-14,29320,Mount Vernon,232,33,0,6,9,33,27,49,216,127,14,58.8,34.7,6.5
2013-14,31006,Mukilteo,187,42,0,4,7,13,15,40,189,144,6,76.2,20.6,3.2
2013-14,39003,Naches Valley,17,3,0,1,0,0,0,0,20,19,0,95.0,5.0,0.0
2013-14,21014,Napavine,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,25155,Naselle-Grays River Valley,2,1,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,26056,Newport,4,3,0,0,0,0,0,4,3,3,0,100.0,0.0,0.0
2013-14,32325,Nine Mile Falls,1,3,0,0,0,0,1,0,4,3,0,75.0,25.0,0.0
2013-14,37506,Nooksack Valley,32,4,1,1,4,5,2,2,34,21,0,61.8,38.2,0.0
2013-14,14064,North Beach,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2013-14,11051,North Franklin,84,14,0,0,1,6,3,17,81,68,3,84.0,12.3,3.7
2013-14,18400,North Kitsap,54,10,0,2,1,4,6,9,55,42,0,76.4,23.6,0.0
2013-14,23403,North Mason,13,8,0,1,0,2,1,5,16,11,1,68.8,25.0,6.3
2013-14,34003,North Thurston,115,47,0,1,3,13,13,30,132,101,1,76.5,22.7,0.8
2013-14,33211,Northport,0,2,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,17417,Northshore,131,28,1,0,2,8,7,20,139,119,2,85.6,12.9,1.4
2013-14,15201,Oak Harbor,39,15,0,0,1,3,3,13,41,32,2,78.0,17.1,4.9
2013-14,38324,Oakesdale,,,,,,,,,,,,n/a,n/a,n/a
2013-14,14400,Oakville,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,25101,Ocean Beach,18,3,0,1,0,0,1,5,16,14,0,87.5,12.5,0.0
2013-14,14172,Ocosta,3,2,0,0,0,1,0,1,4,3,0,75.0,25.0,0.0
2013-14,22105,Odessa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,24105,Okanogan,20,3,0,1,0,2,1,2,21,17,0,81.0,19.0,0.0
2013-14,34111,Olympia,57,13,1,0,1,5,2,14,56,43,4,76.8,16.1,7.1
2013-14,24019,Omak,22,5,1,0,0,0,2,3,24,20,1,83.3,12.5,4.2
2013-14,21300,Onalaska,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,28137,Orcas Island,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,24410,Oroville,13,3,0,1,0,2,1,1,15,11,0,73.3,26.7,0.0
2013-14,27344,Orting,29,6,0,0,1,2,3,4,31,24,1,77.4,19.4,3.2
2013-14,01147,Othello,188,19,6,3,8,20,5,26,181,135,4,74.6,23.2,2.2
2013-14,38301,Palouse,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,11001,Pasco,695,122,17,18,25,52,62,74,743,537,32,72.3,23.4,4.3
2013-14,24122,Pateros,8,4,0,0,0,1,0,3,9,7,1,77.8,11.1,11.1
2013-14,21301,Pe Ell,,,,,,,,,,,,n/a,n/a,n/a
2013-14,27401,Peninsula,7,8,0,0,0,1,1,3,12,10,0,83.3,16.7,0.0
2013-14,12110,Pomeroy,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,05121,Port Angeles,21,8,1,1,0,1,1,7,22,16,2,72.7,18.2,9.1
2013-14,16050,Port Townsend,3,2,0,0,1,0,1,0,5,2,1,40.0,40.0,20.0
2013-14,36402,Prescott,14,6,0,0,0,0,0,4,16,16,0,100.0,0.0,0.0
2013-14,03116,Prosser,109,11,2,0,5,2,10,10,110,87,4,79.1,17.3,3.6
2013-14,38267,Pullman,15,2,0,0,0,0,0,3,14,14,0,100.0,0.0,0.0
2013-14,27003,Puyallup,169,30,1,3,7,11,3,18,181,155,1,85.6,13.8,0.6
2013-14,16048,Quilcene,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,05402,Quillayute Valley,16,4,0,0,0,2,0,1,19,15,2,78.9,10.5,10.5
2013-14,13144,Quincy,152,16,2,4,9,13,4,11,157,121,4,77.1,20.4,2.5
2013-14,34307,Rainier,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,25116,Raymond,7,1,0,1,1,0,1,2,6,3,0,50.0,50.0,0.0
2013-14,22009,Reardan-Edwall,1,3,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2013-14,17403,Renton,150,60,6,6,7,13,15,39,171,114,10,66.7,27.5,5.8
2013-14,10309,Republic,3,1,0,0,0,0,1,2,2,1,0,50.0,50.0,0.0
2013-14,03400,Richland,78,29,0,1,4,7,7,21,86,56,11,65.1,22.1,12.8
2013-14,06122,Ridgefield,11,1,0,0,0,0,0,3,9,9,0,100.0,0.0,0.0
2013-14,01160,Ritzville,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2013-14,32416,Riverside,1,1,0,0,0,0,0,1,1,0,1,0.0,0.0,100.0
2013-14,17407,Riverview,16,3,0,1,1,0,0,2,17,13,2,76.5,11.8,11.8
2013-14,34401,Rochester,19,2,0,0,1,1,0,1,20,18,0,90.0,10.0,0.0
2013-14,38320,Rosalia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,13160,Royal,78,10,3,2,4,3,5,14,74,57,0,77.0,23.0,0.0
2013-14,28149,San Juan Island,7,3,1,0,1,0,1,2,8,5,0,62.5,37.5,0.0
2013-14,17001,Seattle,359,143,13,13,19,32,22,126,376,246,31,65.4,26.3,8.2
2013-14,29101,Sedro-Woolley,31,8,1,0,1,0,2,6,33,27,2,81.8,12.1,6.1
2013-14,39119,Selah,57,10,1,2,4,1,2,5,62,51,1,82.3,16.1,1.6
2013-14,26070,Selkirk,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,05323,Sequim,21,6,1,0,0,0,3,4,23,19,0,82.6,17.4,0.0
2013-14,23309,Shelton,60,10,2,0,2,4,2,14,56,42,4,75.0,17.9,7.1
2013-14,17412,Shoreline,51,30,1,2,3,5,4,14,67,47,5,70.1,22.4,7.5
2013-14,17404,Skykomish,,,,,,,,,,,,n/a,n/a,n/a
2013-14,31201,Snohomish,49,14,0,1,1,8,0,8,55,39,6,70.9,18.2,10.9
2013-14,17410,Snoqualmie Valley,18,5,0,0,0,2,1,5,18,12,3,66.7,16.7,16.7
2013-14,13156,Soap Lake,10,2,0,0,0,1,0,1,11,9,1,81.8,9.1,9.1
2013-14,25118,South Bend,7,1,1,0,1,0,1,0,8,5,0,62.5,37.5,0.0
2013-14,18402,South Kitsap,101,10,0,1,0,1,8,12,99,89,0,89.9,10.1,0.0
2013-14,15206,South Whidbey,3,0,0,0,0,0,1,0,3,2,0,66.7,33.3,0.0
2013-14,32081,Spokane,126,26,1,3,2,11,8,17,135,109,1,80.7,18.5,0.7
2013-14,22008,Sprague,,,,,,,,,,,,n/a,n/a,n/a
2013-14,38322,St. John,0,3,0,0,0,0,0,3,0,0,0,n/a,n/a,n/a
2013-14,31401,Stanwood-Camano,26,6,0,0,2,2,0,3,29,24,1,82.8,13.8,3.4
2013-14,27001,Steilacoom Historical,23,13,1,0,0,3,0,11,25,21,0,84.0,16.0,0.0
2013-14,30303,Stevenson-Carson,6,2,0,0,0,0,1,1,7,6,0,85.7,14.3,0.0
2013-14,31311,Sultan,23,2,0,0,1,3,4,3,22,13,1,59.1,36.4,4.5
2013-14,27320,Sumner,50,21,0,0,1,3,6,14,57,41,6,71.9,17.5,10.5
2013-14,39201,Sunnyside,102,292,2,1,9,24,12,27,367,318,1,86.6,13.1,0.3
2013-14,27010,Tacoma,248,63,1,7,19,31,12,65,246,168,8,68.3,28.5,3.3
2013-14,14077,Taholah,2,0,0,0,0,2,0,0,2,0,0,0.0,100.0,0.0
2013-14,17409,Tahoma,39,8,2,0,2,4,0,7,40,32,0,80.0,20.0,0.0
2013-14,38265,Tekoa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,34402,Tenino,6,2,0,0,0,0,1,2,6,4,1,66.7,16.7,16.7
2013-14,19400,Thorp,,,,,,,,,,,,n/a,n/a,n/a
2013-14,21237,Toledo,6,1,0,0,0,1,0,0,7,5,1,71.4,14.3,14.3
2013-14,24404,Tonasket,21,4,1,1,1,1,0,6,19,14,1,73.7,21.1,5.3
2013-14,39202,Toppenish,183,84,3,3,6,14,20,15,252,158,48,62.7,18.3,19.0
2013-14,36300,Touchet,10,0,0,0,1,0,0,0,10,9,0,90.0,10.0,0.0
2013-14,08130,Toutle Lake,4,1,0,0,0,0,0,1,4,4,0,100.0,0.0,0.0
2013-14,20400,Trout Lake,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,17406,Tukwila,45,14,1,1,7,5,4,6,53,31,4,58.5,34.0,7.5
2013-14,34033,Tumwater,34,8,0,0,0,2,3,4,38,32,1,84.2,13.2,2.6
2013-14,27083,University Place,46,5,0,0,2,4,1,10,41,30,4,73.2,17.1,9.8
2013-14,33070,Valley,,,,,,,,,,,,n/a,n/a,n/a
2013-14,06037,Vancouver,234,85,0,6,11,25,32,69,250,162,14,64.8,29.6,5.6
2013-14,17402,Vashon Island,8,1,0,0,0,0,1,1,8,7,0,87.5,12.5,0.0
2013-14,35200,Wahkiakum,2,1,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2013-14,13073,Wahluke,130,16,2,1,5,17,10,10,136,92,9,67.6,25.7,6.6
